w/HHLC	324					w/oHHLC	324						w/HHLC 24				
index	bin	occurnace				index	bin	occurnace					index	bin	occurnace		
0	0	823				0	0	990					0	0	80		
1	8.141	56				1	7.844	54					1	4.953	0		
2	16.281	49				2	15.688	43					2	9.906	0		
3	24.422	41				3	23.531	56					3	14.859	0		
4	32.562	42				4	31.375	46					4	19.812	0		
5	40.703	37	0.969119048	35.85740476		5	39.219	64	0.933785714	59.76228571			5	24.766	0		
6	48.844	47	1.162952381	54.6587619		6	47.062	59	1.12052381	66.11090476			6	29.719	0		
7	56.984	66	1.356761905	89.54628571		7	54.906	83	1.307285714	108.5047143			7	34.672	1		
8	65.125	55	1.550595238	85.2827381		8	62.75	97	1.494047619	144.922619			8	39.625	1	0.943452381	0.943452381
9	73.266	69	1.744428571	120.3655714		9	70.594	127	1.680809524	213.4628095			9	44.578	0	1.061380952	0
10	81.406	74	1.938238095	143.429619		10	78.438	118	1.867571429	220.3734286			10	49.531	0	1.179309524	0
11	89.547	101	2.132071429	215.3392143		11	86.281	128	2.054309524	262.951619			11	54.484	2	1.297238095	2.59447619
12	97.688	105	2.325904762	244.22		12	94.125	119	2.241071429	266.6875			12	59.438	1	1.415190476	1.415190476
13	105.828	148	2.519714286	372.9177143		13	101.969	158	2.427833333	383.5976667			13	64.391	0	1.533119048	0
14	113.969	148	2.713547619	401.6050476		14	109.812	135	2.614571429	352.9671429			14	69.344	1	1.651047619	1.651047619
15	122.109	165	2.907357143	479.7139286		15	117.656	140	2.801333333	392.1866667			15	74.297	2	1.76897619	3.537952381
16	130.25	142	3.101190476	440.3690476		16	125.5	141	2.988095238	421.3214286			16	79.25	0	1.886904762	0
17	138.391	144	3.29502381	474.4834286		17	133.344	134	3.174857143	425.4308571			17	84.203	1	2.004833333	2.004833333
18	146.531	137	3.488833333	477.9701667		18	141.188	124	3.361619048	416.8407619			18	89.156	0	2.122761905	0
19	154.672	140	3.682666667	515.5733333		19	149.031	98	3.548357143	347.739			19	94.109	1	2.240690476	2.240690476
20	162.812	119	3.87647619	461.3006667		20	156.875	77	3.735119048	287.6041667			20	99.062	0	2.358619048	0
21	170.953	137	4.070309524	557.6324048		21	164.719	85	3.921880952	333.359881			21	104.016	1	2.476571429	2.476571429
22	179.094	98	4.264142857	417.886		22	172.562	70	4.108619048	287.6033333			22	108.969	1	2.5945	2.5945
23	187.234	80	4.457952381	356.6361905		23	180.406	56	4.295380952	240.5413333			23	113.922	0	2.712428571	0
24	195.375	79	4.651785714	367.4910714		24	188.25	74	4.482142857	331.6785714			24	118.875	3	2.830357143	8.491071429
25	203.516	68	4.845619048	329.5020952		25	196.094	42	4.668904762	196.094			25	123.828	0	2.948285714	0
26	211.656	57	5.039428571	287.2474286		26	203.938	55	4.855666667	267.0616667			26	128.781	0	3.066214286	0
27	219.797	53	5.233261905	277.362881		27	211.781	64	5.042404762	322.7139048			27	133.734	0	3.184142857	0
28	227.938	56	5.427095238	303.9173333		28	219.625	54	5.229166667	282.375			28	138.688	0	3.302095238	0
29	236.078	46	5.620904762	258.561619		29	227.469	53	5.415928571	287.0442143			29	143.641	1	3.42002381	3.42002381
30	244.219	63	5.814738095	366.3285		30	235.312	48	5.602666667	268.928			30	148.594	1	3.537952381	3.537952381
31	252.359	49	6.008547619	294.4188333		31	243.156	43	5.789428571	248.9454286			31	153.547	9	3.655880952	32.90292857
32	260.5	38	6.202380952	235.6904762		32	251	40	5.976190476	239.047619			32	158.5	22	3.773809524	83.02380952
33	268.641	58	6.396214286	370.9804286		33	258.844	37	6.162952381	228.0292381			33	163.453	63	3.891738095	245.1795
34	276.781	50	6.59002381	329.5011905		34	266.688	58	6.349714286	368.2834286			34	168.406	96	4.009666667	384.928
35	284.922	47	6.783857143	318.8412857		35	274.531	40	6.536452381	261.4580952			35	173.359	159	4.127595238	656.2876429
36	293.062	52	6.977666667	362.8386667		36	282.375	45	6.723214286	302.5446429			36	178.312	273	4.24552381	1159.028
37	301.203	54	7.1715	387.261		37	290.219	47	6.90997619	324.768881			37	183.266	385	4.36347619	1679.938333
38	309.344	38	7.365333333	279.8826667		38	298.062	43	7.096714286	305.1587143			38	188.219	414	4.481404762	1855.301571
39	317.484	46	7.559142857	347.7205714		39	305.906	42	7.28347619	305.906			39	193.172	421	4.599333333	1936.319333
40	325.625	45	7.75297619	348.8839286		40	313.75	31	7.470238095	231.577381			40	198.125	408	4.717261905	1924.642857
41	333.766	40	7.946809524	317.872381		41	321.594	36	7.657	275.652			41	203.078	393	4.835190476	1900.229857
42	341.906	41	8.140619048	333.765381		42	329.438	45	7.843761905	352.9692857			42	208.031	235	4.953119048	1163.982976
43	350.047	47	8.334452381	391.7192619		43	337.281	52	8.0305	417.586			43	212.984	268	5.071047619	1359.040762
44	358.188	37	8.528285714	315.5465714		44	345.125	32	8.217261905	262.952381			44	217.938	233	5.189	1209.037
45	366.328	37	8.722095238	322.7175238		45	352.969	69	8.40402381	579.8776429			45	222.891	182	5.306928571	965.861
46	374.469	47	8.915928571	419.0486429		46	360.812	44	8.590761905	377.9935238			46	227.844	115	5.424857143	623.8585714
47	382.609	39	9.109738095	355.2797857		47	368.656	44	8.77752381	386.2110476			47	232.797	116	5.542785714	642.9631429
48	390.75	46	9.303571429	427.9642857		48	376.5	50	8.964285714	448.2142857			48	237.75	98	5.660714286	554.75
49	398.891	49	9.497404762	465.3728333		49	384.344	48	9.151047619	439.2502857			49	242.703	99	5.778642857	572.0856429
50	407.031	42	9.691214286	407.031		50	392.188	47	9.337809524	438.8770476			50	247.656	70	5.896571429	412.76
51	415.172	39	9.885047619	385.5168571		51	400.031	37	9.524547619	352.4082619			51	252.609	82	6.0145	493.189
52	423.312	49	10.07885714	493.864		52	407.875	41	9.711309524	398.1636905			52	257.562	77	6.132428571	472.197
53	431.453	39	10.27269048	400.6349286		53	415.719	50	9.898071429	494.9035714			53	262.516	50	6.250380952	312.5190476
54	439.594	34	10.46652381	355.8618095		54	423.562	45	10.08480952	453.8164286			54	267.469	49	6.368309524	312.0471667
55	447.734	37	10.66033333	394.4323333		55	431.406	42	10.27157143	431.406			55	272.422	52	6.486238095	337.284381
56	455.875	47	10.85416667	510.1458333		56	439.25	35	10.45833333	366.0416667			56	277.375	44	6.604166667	290.5833333
57	464.016	54	11.048	596.592		57	447.094	27	10.64509524	287.4175714			57	282.328	29	6.722095238	194.9407619
58	472.156	41	11.24180952	460.9141905		58	454.938	38	10.83185714	411.6105714			58	287.281	45	6.84002381	307.8010714
59	480.297	28	11.43564286	320.198		59	462.781	32	11.01859524	352.5950476			59	292.234	38	6.957952381	264.4021905
60	488.438	39	11.62947619	453.5495714		60	470.625	32	11.20535714	358.5714286			60	297.188	43	7.075904762	304.2639048
61	496.578	25	11.82328571	295.5821429		61	478.469	26	11.39211905	296.1950952			61	302.141	35	7.193833333	251.7841667
62	504.719	33	12.01711905	396.5649286		62	486.312	26	11.57885714	301.0502857			62	307.094	29	7.311761905	212.0410952
63	512.859	32	12.21092857	390.7497143		63	494.156	22	11.76561905	258.843619			63	312.047	15	7.429690476	111.4453571
